date,week,month,project group,project_name,shift,q#,customer,whse #,supervisor_name,work_type,product_category,size,temp_labor_hrs,gdb labor hrs,temp_labor_cost,gdb_labor_cost,total_labor_cost,units_g1,units_g5,units_q,units_p,units_other,total_units,total_gallons_done,cost_gallon,cost_unit,description_comments,chris lampe comment/notes,laurie's/intern's comments,Reason
9/13/2019,week3,SEPT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,32,16,$464.00 ,176,$640.00 ,,,,,,840,840,$0.76 ,$0.76 ,,,,"gdb_labor_cost -> Values must be in decimal -> 176
"
9/18/2019,week5,SEPT,Outbound Project,STAIN TINTING,MORNING,S1630,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,32,16,$464.00 ,176,$640.00 ,,,,,,1260,1260,$0.51 ,$0.51 ,,,,"gdb_labor_cost -> Values must be in decimal -> 176
"
9/20/2019,week5,SEPT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,16,24,$232.00 ,264,$496.00 ,,,,,,840,840,0.59,$0.59 ,,,,"gdb_labor_cost -> Values must be in decimal -> 264
"
9/23/2019,week5,SEPT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,22,16,$312.00 ,176,$488.00 ,,,,,,1146,1338,0.36,$0.43 ,,,,"gdb_labor_cost -> Values must be in decimal -> 176
"
9/24/2019,week5,SEPT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,10,24,$138.00 ,264,$402.00 ,,,,,,384,1152,$0.35 ,$1.05 ,,,,"gdb_labor_cost -> Values must be in decimal -> 264
"
9/25/2019,week5,SEPT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,35,24,$500.00 ,264,$764.00 ,,,,,,1662,2046,0.37,$0.46 ,,,,"gdb_labor_cost -> Values must be in decimal -> 264
"
9/26/2019,week5,SEPT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,32,16,$464.00 ,176,$640.00 ,,,,,,840,840,$0.76 ,$0.76 ,,,,"gdb_labor_cost -> Values must be in decimal -> 176
"
10/7/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,S#2946,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,12,32,$174.00 ,352,$526.00 ,,,,,,1470,1470,0.36,$0.36 ,,,,"gdb_labor_cost -> Values must be in decimal -> 352
"
10/8/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,32,28,$464.00 ,308,$772.00 ,,,,,,1470,1470,$0.53 ,$0.53 ,,,,"gdb_labor_cost -> Values must be in decimal -> 308
"
10/11/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,64,28,928,308,1236,,,,,,1434,2202,0.56,0.86,,,,"temp_labor_cost -> Values must be in decimal -> 928
gdb_labor_cost -> Values must be in decimal -> 308
total_labor_cost -> Values must be in decimal -> 1236
"
10/14/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,48,32,696,352,1048,,,,,,576,1728,0.61,1.82,,,,"temp_labor_cost -> Values must be in decimal -> 696
gdb_labor_cost -> Values must be in decimal -> 352
total_labor_cost -> Values must be in decimal -> 1048
"
10/14/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,40,0,580,0,580,,,,,,306,498,1.16,1.9,,,,"temp_labor_cost -> Values must be in decimal -> 580
gdb_labor_cost -> Values must be in decimal -> 0
total_labor_cost -> Values must be in decimal -> 580
"
10/15/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,32,64,464,704,1168,,,,,,1470,1470,0.79,0.79,,,,"temp_labor_cost -> Values must be in decimal -> 464
gdb_labor_cost -> Values must be in decimal -> 704
total_labor_cost -> Values must be in decimal -> 1168
"
10/15/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,40,0,580,0,580,,,,,,888,984,0.59,0.65,,,,"temp_labor_cost -> Values must be in decimal -> 580
gdb_labor_cost -> Values must be in decimal -> 0
total_labor_cost -> Values must be in decimal -> 580
"
10/16/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,26,32,377,352,729,,,,,,1050,1050,0.69,0.69,,,,"temp_labor_cost -> Values must be in decimal -> 377
gdb_labor_cost -> Values must be in decimal -> 352
total_labor_cost -> Values must be in decimal -> 729
"
10/16/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,18,0,261,0,261,,,,,,630,630,0.41,0.41,,,,"temp_labor_cost -> Values must be in decimal -> 261
gdb_labor_cost -> Values must be in decimal -> 0
total_labor_cost -> Values must be in decimal -> 261
"
10/17/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,48,32,696,352,1048,,,,,,1890,1890,0.55,0.55,,,,"temp_labor_cost -> Values must be in decimal -> 696
gdb_labor_cost -> Values must be in decimal -> 352
total_labor_cost -> Values must be in decimal -> 1048
"
10/17/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,56,0,812,0,812,,,,,,1470,1470,0.55,0.55,,,,"temp_labor_cost -> Values must be in decimal -> 812
gdb_labor_cost -> Values must be in decimal -> 0
total_labor_cost -> Values must be in decimal -> 812
"
10/18/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,24,16,348,176,524,,,,,,1098,1194,0.44,0.48,,,,"temp_labor_cost -> Values must be in decimal -> 348
gdb_labor_cost -> Values must be in decimal -> 176
total_labor_cost -> Values must be in decimal -> 524
"
10/18/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,8,0,109,0,109,,,,,,258,354,0.31,0.42,,,,"temp_labor_cost -> Values must be in decimal -> 109
gdb_labor_cost -> Values must be in decimal -> 0
total_labor_cost -> Values must be in decimal -> 109
"
10/21/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,40,16,580,176,756,,,,,,450,930,0.81,1.68,,,,"temp_labor_cost -> Values must be in decimal -> 580
gdb_labor_cost -> Values must be in decimal -> 176
total_labor_cost -> Values must be in decimal -> 756
"
10/21/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,16,0,232,0,232,,,,,,240,720,0.32,0.97,,,,"temp_labor_cost -> Values must be in decimal -> 232
gdb_labor_cost -> Values must be in decimal -> 0
total_labor_cost -> Values must be in decimal -> 232
"
10/22/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,48,16,696,176,872,,,,,,1050,1050,0.83,0.83,,,,"temp_labor_cost -> Values must be in decimal -> 696
gdb_labor_cost -> Values must be in decimal -> 176
total_labor_cost -> Values must be in decimal -> 872
"
10/22/2019,WEEK4,OCT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,16,0,232,0,232,,,,,,630,630,0.37,0.37,,,,"temp_labor_cost -> Values must be in decimal -> 232
gdb_labor_cost -> Values must be in decimal -> 0
total_labor_cost -> Values must be in decimal -> 232
"
