date,week,month,project group,project_name,shift,q#,customer,whse #,supervisor_name,work_type,product_category,size,temp_labor_hrs,gdb labor hrs,temp_labor_cost,gdb_labor_cost,total_labor_cost,units_g1,units_g5,units_q,units_p,units_other,total_units,total_gallons_done,cost_gallon,cost_unit,description_comments,chris lampe comment/notes,laurie's/intern's comments,Reason
9/13/2019,week3,SEPT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,32,16,$464.00 ,$176 ,$640 ,,,,,,1117,1132.5,$0.76 ,$0.76 ,,,,"gdb_labor_cost -> Values must be in decimal -> $176 
total_labor_cost -> Values must be in decimal -> $640 
"
9/16/2019,week3,SEPT,Outbound Project,STAIN TINTING,MORNING,S01365,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,32,16,$464.00 ,$176 ,$640 ,,,,,,204,444,$0.61 ,$0.61 ,Scraping the G5 pails and relabeling the G1 and G5 with DC ,,,"gdb_labor_cost -> Values must be in decimal -> $176 
total_labor_cost -> Values must be in decimal -> $640 
"
9/17/2019,week3,SEPT,Outbound Project,STAIN TINTING,MORNING,S01520,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,32,16,$464.00 ,$176 ,$640 ,,,,,,751,1707,$0.76 ,$0.76 ,cut and comp the restricted brands ,,,"gdb_labor_cost -> Values must be in decimal -> $176 
total_labor_cost -> Values must be in decimal -> $640 
"
9/18/2019,week3,SEPT,Outbound Project,STAIN TINTING,MORNING,S1630,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,32,16,$464.00 ,$176 ,$640 ,,,,,,132,144,$0.51 ,$0.51 ,Cut and comp the restricted brands ,,,"gdb_labor_cost -> Values must be in decimal -> $176 
total_labor_cost -> Values must be in decimal -> $640 
"
9/19/2019,week3,SEPT,Outbound Project,STAIN TINTING,MORNING,S1496,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,24,16,$348.00 ,$176 ,$524 ,,,,,,2310,577.5,$0.62 ,$0.62 ," Involves taking out quarts from boxes, sticker, pallatize them and break down cardboard boxes. ",,,"gdb_labor_cost -> Values must be in decimal -> $176 
total_labor_cost -> Values must be in decimal -> $524 
"
9/20/2019,week3,SEPT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,16,24,$232.00 ,$264 ,$496 ,,,,,,3168,,$0.59 ,$0.59 ,had only 2 people only the entire day. 2 left at lunch feeling sick but still we made 3168 units with the colors we had. 3 pallets  ,,,"gdb_labor_cost -> Values must be in decimal -> $264 
total_labor_cost -> Values must be in decimal -> $496 
"
9/23/2019,week3,SEPT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,22,16,$312.00 ,$176 ,$488 ,,,,,,1056,,$0.36 ,$0.43 ,had teddy and linda hand relabel black aerosols ,,,"gdb_labor_cost -> Values must be in decimal -> $176 
total_labor_cost -> Values must be in decimal -> $488 
"
9/24/2019,week3,SEPT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,10,24,$138.00 ,$264 ,$402 ,,,,,,202,290,$0.35 ,$1.05 ,michael had to cut label. Linda and teddy had to relabel. William had to scrap all the 5 gallon buckets and relabel them. ,,,"gdb_labor_cost -> Values must be in decimal -> $264 
total_labor_cost -> Values must be in decimal -> $402 
"
9/25/2019,week3,SEPT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,35,24,$500.00 ,$264 ,$764 ,,,,,,1152,,$0.37 ,$0.46 ,we trained robert langwith on sleeving today. He has to dump the rollers on table and sleeve it and put it in a box and palletize it ,,,"gdb_labor_cost -> Values must be in decimal -> $264 
total_labor_cost -> Values must be in decimal -> $764 
"
9/26/2019,week3,SEPT,Outbound Project,STAIN TINTING,MORNING,,OLLIE's,19,CHANDRAKANT,TINTING,SOLID STAIN,G1,32,16,$464.00 ,$176 ,$640 ,,,,,,344,86,$0.76 ,$0.76 ,had mike and william sort SPP quarts  ,,,"gdb_labor_cost -> Values must be in decimal -> $176 
total_labor_cost -> Values must be in decimal -> $640 
"
